label,waist_mean,waist_max,waist_min,l_thigh_mean,l_thigh_max,r_thigh_mean,r_thigh_max,waist_omega_mean,waist_omega_max,waist_omega_min,l_thigh_omega_mean,l_thigh_omega_max,l_thigh_omega_min,r_thigh_omega_mean,r_thigh_omega_max,r_thigh_omega_min,thigh_mean_diff
standing,0.374453738815875,0.522683568162719,0.23508988797937,0.234925267758715,0.261291651124367,1.02581818875003,1.06520446564504,1.71253301346123,2.1422075826401,1.18469883206783,0.216371606030552,0.743927616954816,-0.603902887384042,0.477229259388213,0.759252338507054,-0.0539880855629554,0.7908929209913149
standing,0.445640832761009,0.543277830074686,0.30570296844499,0.253577210697314,0.286106262853728,1.04148398383345,1.06811156558048,1.66555814560563,2.1422075826401,0.853074847194411,0.364919216486246,0.743927616954816,-0.0856234404618525,0.41810146812028,0.759252338507054,-0.0539880855629554,0.787906773136136
standing,0.48693754147079,0.543277830074686,0.356677437371573,0.260872949606601,0.286106262853728,1.0494208539175,1.06811156558048,1.20003301509317,2.1422075826401,-0.960566296775994,0.263245913540998,0.743927616954816,-0.198044059371733,0.249367050649417,0.610652239025738,-0.312606635765055,0.788547904310899
standing,0.486265644424617,0.543277830074686,0.386599961138401,0.26205385749164,0.286106262853728,1.05002478374041,1.06811156558048,0.358658134857707,2.08406310726194,-1.7316083089325,0.0509832930129312,0.378564637032236,-0.465101524984812,0.0748761672432614,0.610652239025738,-0.338484905906457,0.78797092624877
standing,0.448931260202086,0.543277830074686,0.332523055899301,0.274650611826938,0.366180210917442,1.03918205224495,1.06811156558048,-0.506903566985315,1.8832385933043,-1.7316083089325,0.154988809993934,1.46965128728955,-0.465101524984812,-0.114141521736336,0.41881175206502,-0.410099006599907,0.7645314404180119
standing,0.3947297737216,0.514415933482468,0.318922542809659,0.305070556426264,0.41457213767896,1.022812147648,1.05936219834872,-0.993851038554775,0.218786624082146,-1.7316083089325,0.50228942793958,1.95801193359461,-0.465101524984812,-0.277432122736599,0.0800236174865792,-0.433195447199373,0.7177415912217361
standing,0.360309591085594,0.432645529452202,0.318922542809659,0.339590944028348,0.41457213767896,1.00414527637009,1.04268153793069,-0.864389672114796,0.457186895582637,-1.7316083089325,0.682444536822337,1.95801193359461,-0.465101524984812,-0.356594890660141,-0.212491064542662,-0.51783856635728,0.664554332341742
standing,0.344208647997654,0.364919029471949,0.318922542809659,0.370936082849028,0.41457213767896,0.985986981908822,1.01925453640864,-0.417543567280494,0.457186895582637,-1.50697788608549,0.67715574051108,1.95801193359461,-0.753039176482555,-0.386267716563067,-0.212491064542662,-0.51783856635728,0.6150508990597939
standing,0.327546312486678,0.362031518633628,0.25345736017951,0.368670936749392,0.41457213767896,0.962794010492926,1.01096887311016,-0.276930786408811,0.457186895582637,-1.29199088074343,0.195085589045875,1.95801193359461,-1.45626896048749,-0.465831873258928,-0.212491064542662,-1.01894400733197,0.594123073743534
standing,0.292158524389389,0.362031518633628,0.147169860565299,0.325532207406206,0.407133846467836,0.937327999363237,0.990925132773597,-0.55772971430642,0.457186895582637,-2.17381405385567,-0.625370982235054,1.14174624880318,-1.69363604464412,-0.545751224482714,-0.212491064542662,-1.01894400733197,0.6117957919570309
standing,0.228761135742281,0.356513711118225,0.0730609558597593,0.258324351009367,0.390506692234474,0.919776902956487,0.972467599768592,-1.10812135230616,0.457186895582637,-2.17381405385567,-1.26925976699583,-0.0420041341794878,-1.98051295729989,-0.445533020655517,0.166038165151685,-1.01894400733197,0.6614525519471199
standing,0.160296866584248,0.317253073145636,0.0650884506357841,0.182991691002188,0.307814535475089,0.907532490909599,0.951390121666037,-1.52783949434241,-0.33798399603504,-2.17381405385567,-1.6052261596244,-1.26041119280807,-1.98051295729989,-0.28952061076934,0.239837451590222,-1.01894400733197,0.7245407999074109
standing,0.109838209968139,0.23491388653207,0.0650884506357841,0.117824491276369,0.259621635508729,0.901061993944513,0.917473157190813,-1.33721615415931,0.159878908262321,-2.17381405385567,-1.55163618333003,-0.88315636401693,-1.98051295729989,-0.163615915587646,0.239837451590222,-0.75491715007575,0.7832375026681441
